Vendor Name,IMPA,Vendor Product Name,Vendor Product Code,CATEGORY,Vendor Price
RUBAFLEX B.V.,150679,Soft PVC sheet transparent 1000 x 1mm non-slip,ppt001,,5.75
RUBAFLEX B.V.,150680,Soft PVC sheet transparent 1000 x 2mm,ppt002,,9.75
RUBAFLEX B.V.,150681,Polyether foam sheet 5mm 1200 x 1000mm,pes005,,6.06
RUBAFLEX B.V.,150682,Polyether foam sheet 10mm 1200 x 1000mm,pes010,,11.4
RUBAFLEX B.V.,150683,Polyether foam sheet 20mm 1200 x 1000mm,pes020,,16.35
RUBAFLEX B.V.,150684,Polyether foam sheet 20mm 1200 x 1000mm,pes020,,16.35
RUBAFLEX B.V.,150685,Polyether foam sheet 20mm 1200 x 1000mm,pes020,,16.35
RUBAFLEX B.V.,232442,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232443,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232444,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232445,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232446,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232447,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232448,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232449,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232450,Hatch cover tape 1.6mm x 300mm Roll = 20 mtr,hct300,,32.5
RUBAFLEX B.V.,232450,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232452,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232453,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232454,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232455,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232456,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232457,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232459,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232460,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232462,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232463,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232465,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232466,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232468,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232469,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
RUBAFLEX B.V.,232470,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232472,Hatch cover tape 1.6mm x 100mm Roll = 20 mtr,hct100,,7.95
RUBAFLEX B.V.,232473,Hatch cover tape 1.6mm x 150mm Roll = 20 mtr,hct150,,11.25
